id,citations_google_scholar,date,author,year,title,titre_scholar,similarite
gagnon2023,12,2026-09-03,"Gagnon, Julien; Geloso, Vincent; Isabelle, Maripier",2023,"The incubated revolution: Education, cohort effects, and the linguistic wage gap in Quebec during the 20th century","The incubated revolution: Education, cohort effects, and the linguisti…",1.1
dean2022,18,2026-09-03,"Dean, Joshua; Geloso, Vincent",2022,"The linguistic wage gap in Quebec, 1901 to 1951","The linguistic wage gap in Quebec, 1901 to 1951",1.1
vaillancourt2024,1,2026-09-03,"Vaillancourt, François; Sintes, Amélie; Grine, Feriel",2024,"La rémunération des attributs linguistiques au Québec en 2020, son évolution depuis 1970 et le taux de rendement du bilinguisme des francophones en 2020","La rémunération des attributs linguistiques au Québec en 2020, son évo…",1.1
vaillancourt2013,24,2026-09-03,"Vaillancourt, François; Tousignant, Julien; Chatel-DeRepentigny, Joëlle; Coutu-Mantha, Simon",2013,Revenus de travail et rendement des attributs linguistiques au Québec en 2005 et depuis 1970,Revenus de travail et rendement des attributs linguistiques au Québec…,1.1
albouy2008,101,2026-09-03,"Albouy, David",2008,"The wage gap between Francophones and Anglophones: a Canadian perspective, 1970-2000",The wage gap between Francophones and Anglophones: A Canadian perspect…,1.09
nadeau2010,35,2026-09-03,"Nadeau, Serge",2010,"Another look at the Francophone wage gap in Canada: Public and private sectors, Quebec and outside Quebec",Another look at the francophone wage gap in Canada: Public and private…,1.1
christofides2010,91,2026-09-03,"Christofides, Louis N.; Swidinsky, Robert",2010,The economic returns to the knowledge and use of a second official language: English in Quebec and French in the rest-of-Canada,The economic returns to the knowledge and use of a second official lan…,1.1
beland2010,,,"Béland, Nicolas; Forgues, Éric; Beaudin, Maurice",2010,"Inégalités salariales et bilinguisme au Québec et au Nouveau-Brunswick, 1970 à 2000",,
bourhis2019,39,2026-09-03,"Bourhis, Richard Y.",2019,Evaluating the impact of Bill 101 on the English-speaking communities of Quebec,Evaluating the impact of Bill 101 on the English-speaking communities…,1.1
grenier2019,,,"Grenier, Gilles",2019,Quebec's language policy and economic globalization,,
donovan2024,,,"Donovan, Patrick; Bell, Shannon",2024,"Disparités de revenus entre les anglophones et les francophones du Québec / Income disparities between Quebec's English speakers and French speakers (Brief no 14, version révisée, août 2024)",,
shapiro1997,121,2026-09-03,"Shapiro, Daniel M.; Stelcner, Morton",1997,"Language and earnings in Quebec: Trends over twenty years, 1970-1990","Language and earnings in Quebec: trends over twenty years, 1970-1990",1.1
shapiro1987,,,"Shapiro, Daniel M.; Stelcner, Morton",1987,"Earnings disparities among linguistic groups in Quebec, 1970-1980",,
shapiro1981,,,"Shapiro, Daniel M.; Stelcner, Morton",1981,"Male-female earnings differentials and the role of language in Canada, Ontario, and Quebec, 1970",,
shapiro1982,,,"Shapiro, Daniel M.; Stelcner, Morton",1982,Language legislation and male-female earnings differentials in Quebec,,
vaillancourt1980,70,2026-09-03,"Vaillancourt, François",1980,"Differences in earnings by language groups in Quebec, 1970: An economic analysis","Differences in Earnings by Language Groups in Quebec, 1970: An Economi…",1.1
vaillancourt1978,,,"Vaillancourt, François",1978,Les attributs linguistiques et la détermination du revenu des hommes au Québec en 1971 : les groupes d'âge et d'éducation,,
vaillancourt1979,,,"Vaillancourt, François",1979,Language and the earnings of Quebec males in 1970 in specific industries and occupations,,
vaillancourt1996,145,2026-09-03,"Vaillancourt, François",1996,"Language and socioeconomic status in Quebec: measurement, findings, determinants, and policy costs","Language and socioeconomic status in Quebec: measurement, findings, de…",1.1
vaillancourt2007,91,2026-09-03,"Vaillancourt, François; Lemay, Dominique; Vaillancourt, Luc",2007,Laggards no more: The changed socioeconomic status of francophones in Quebec,Laggards no more: The changed socioeconomic status of Francophones in…,1.1
grenier1987,73,2026-09-03,"Grenier, Gilles",1987,Earnings by language group in Quebec in 1980 and emigration from Quebec between 1976 and 1981,Earnings by language group in Quebec in 1980 and emigration from Quebe…,1.1
grenier1984,,,"Grenier, Gilles",1984,"Participation au marché du travail, revenus et langues au Québec : le cas des femmes mariées",,
