id,etiquette,annee,cite_par_top30,cite_top30,recurrence_corpus,indice
porter1965,"Porter, 1965",1965,9,1,50,0.649
rcbb1969,"Commission B-B, 1969",1969,23,3,80,0.647
carliner1981,"Carliner, 1981",1981,16,6,39,0.613
lieberson1970,"Lieberson, 1970",1970,10,4,46,0.599
vaillancourt1996,"Vaillancourt, 1996",1996,13,13,36,0.587
shapiro1997,"Shapiro et Stelcner, 1997",1997,11,11,29,0.574
levine1990,"Levine, 1990",1990,8,11,28,0.565
albouy2008,"Albouy, 2008",2008,8,13,23,0.553
vaillancourt2007,"Vaillancourt et al., 2007",2007,10,12,27,0.539
vaillancourt1980,"Vaillancourt, 1980",1980,17,7,47,0.531
christofides2010,"Christofides et Swidinsky, 2010",2010,7,11,15,0.525
grenier1987,"Grenier, 1987",1987,15,4,33,0.524
chiswick1988,"Chiswick et Miller, 1988",1988,10,6,21,0.511
raynauld1966,"Raynauld et al., 1966",1966,18,1,53,0.503
boulet1980,"Boulet, 1980",1980,17,6,43,0.495
blishen1958,"Blishen, 1958",1958,7,0,27,0.482
nadeau2010,"Nadeau, 2010",2010,7,12,15,0.465
boyd1985,"Boyd et al., 1985",1985,0,8,14,0.443
vaillancourt2018,"Vaillancourt, 2018",2018,2,20,7,0.428
vaillancourt2013,"Vaillancourt et al., 2013",2013,5,15,15,0.425
vaillancourt2020,"Vaillancourt, 2020",2020,1,18,4,0.419
vaillancourt1988,"Vaillancourt, 1988",1988,12,7,23,0.418
pert2023,"PERT, 2023",2023,0,2,2,0.418
bourhis2019,"Bourhis, 2019",2019,2,7,7,0.418
oqlf2022,"OQLF, 2022",2022,0,10,2,0.415
migue1970,"Migué, 1970",1970,9,4,30,0.413
floch2012,"Floch et Pocock, 2012",2012,3,13,7,0.41
vaillancourt2017,"Vaillancourt et Fontaine, 2017",2017,3,16,4,0.41
marion1972,"Marion et Raynauld, 1972",1972,5,4,21,0.409
vaillancourt2001,"Vaillancourt et Touchette, 2001",2001,8,11,13,0.407
